ID,Site,Mail_Consent,Email_Consent,Tier,City,Country,Age,Age_Group,Gender,Twelve_Month_ADT,Six_Month_ADT,Three_Month_ADT,One_Month_ADT,Twelve_Month_Theo_NW,Six_Month_Theo_NW,Three_Month_Theo_NW,One_Month_Theo_NW,Twelve_Month_Actual_NW,Six_Month_Actual_NW,Three_Month_Actual_NW,One_Month_Actual_NW,Twelve_Month_Trips,Six_Month_Trips,Three_Month_Trips,One_Month_Trips,Number_of_Comps_Taken_12_Months,Value_of_Comps_Taken_12_Months,Twelve_Month_Net_Comp ,Number_of_Comps_Taken_3_Months,Value_of_Comps_Taken_3_Months,Three_Month_Net_Comp ,Number_of_Comps_Taken_1_Month,Value_of_Comps_Taken_1_Month,One_Month_Net_Comp ,Lapse
700012,WB,Y,N,GOLD   ,MISSISSAUGA,Canada,54,51-58,FEMALE,301.304088,247.0774535,161.1775175,0,6628.689935,2470.774535,322.355035,0,6629.27,4649.27,45.27,0,22,10,2,0,19,559,-28.7048052,0,0,25.7884028,0,0,0,1 Month Lapsed
700014,WB,Y,N,GOLD   ,WOODBRIDGE,Canada,76,75+,MALE  ,301.92425,301.92425,0,0,603.8485,603.8485,0,0,940,940,0,0,2,2,0,0,0,0,48.30788,0,0,0,0,0,0,3 Month Lapsed
700016,WB,N,N,GOLD   ,TORONTO,Canada,57,51-58,MALE  ,604.07848,454.98984,652.18928,0,3624.47088,909.97968,652.18928,0,3966.3,1296.3,666.3,0,6,2,1,0,9,189,100.9576704,1,44,8.1751424,0,0,0,1 Month Lapsed
700020,WB,Y,N,GOLD   ,ASHBURN,Canada,58,51-58,MALE  ,462.7489128,509.6376688,489.5497455,517.33534,21749.1989,8154.2027,5385.0472,2586.6767,16454,11252,5806,2272,47,16,11,5,28,872,867.935912,4,138,292.803776,3,108,98.934136,No Lapse
700024,WB,N,N,GOLD   ,MISSISSAUGA,Canada,48,43-50,FEMALE,616.0033526,749.1074562,866.9593431,838.3282867,28952.15757,20975.00877,9536.552774,2514.98486,34427.41,24293.41,13885.41,2324.75,47,28,11,3,37,1198,1118.172606,10,364,398.9242219,4,184,17.1987888,No Lapse
700076,WB,Y,Y,GOLD   ,NORTH YORK,Canada,54,51-58,MALE  ,327.0057,0,0,0,981.0171,0,0,0,-959,0,0,0,3,0,0,0,3,132,-53.518632,0,0,0,0,0,0,6 Month Lasped
700081,WB,N,N,GOLD   ,ETOBICOKE,Canada,65,59-66,MALE  ,232.7190078,232.7190078,232.7190078,180.291677,930.876031,930.876031,930.876031,540.875031,1088.33,1088.33,1088.33,-159.67,4,4,4,3,1,30,44.47008248,1,30,44.47008248,1,30,13.27000248,No Lapse
700090,WB,Y,N,SILVER ,BRAMPTON,Canada,48,43-50,MALE  ,238.5740267,238.5740267,142.90888,142.90888,715.72208,715.72208,142.90888,142.90888,870.1,870.1,61.1,61.1,3,3,1,1,0,0,57.2577664,0,0,11.4327104,0,0,11.4327104,No Lapse
700095,WB,N,N,GOLD   ,NORTH YORK,Canada,68,67-74,FEMALE,441.664129,682.5127242,380.7219475,0,18108.22929,8190.15269,1522.88779,0,28185.95,13615.95,1760.95,0,41,12,4,0,11,695,753.6583432,1,25,96.8310232,0,0,0,1 Month Lapsed
700096,WB,Y,N,GOLD   ,BRAMPTON,Canada,79,75+,FEMALE,528.6286584,593.3977559,596.3914433,626.377659,19030.6317,5340.579803,4174.740103,1252.755318,18119.16,7936.16,5972.16,2692.21,36,9,7,2,18,551,971.4505362,4,60,273.9792082,1,15,85.22042544,No Lapse
700101,WB,Y,N,GOLD   ,KITCHENER,Canada,66,59-66,MALE  ,579.5228906,460.4985877,285.5677921,337.5845175,19703.77828,11972.96328,4283.516881,2700.67614,10231.42,12349.42,9544.42,6424.57,34,26,15,8,3,68,1508.302262,2,46,296.6813505,1,24,192.0540912,No Lapse
700106,WB,N,N,GOLD   ,TORONTO,Canada,57,51-58,FEMALE,241.971912,246.1945779,304.6356395,223.77969,12340.56751,7632.031914,3960.263314,895.11876,14139.97,7583.97,4013.97,1720.97,51,31,13,4,16,1033,-45.75459888,10,160,156.8210651,3,45,26.6095008,No Lapse
700107,WB,Y,N,GOLD   ,ETOBICOKE,Canada,84,75+,FEMALE,336.4431677,344.7309303,134.9722707,134.9722707,4037.318012,2413.116512,404.916812,404.916812,5207.54,2646.54,702.54,702.54,12,7,3,3,6,148,174.985441,2,42,-9.60665504,2,42,-9.60665504,No Lapse
700113,WB,Y,N,GOLD   ,MARKHAM,Canada,75,75+,FEMALE,585.4215157,755.58677,697.864405,817.92871,4097.95061,2266.76031,1395.72881,817.92871,7139.6,4177.6,3181.6,1607.6,7,3,2,1,0,0,327.8360488,0,0,111.6583048,0,0,65.4342968,No Lapse
700119,WB,N,N,GOLD   ,MISSISSAUGA,Canada,67,67-74,FEMALE,451.9863415,491.7558437,414.532097,381.8515842,18079.45366,10818.62856,5388.917261,2291.109505,25149.69,13316.69,6601.69,2450.9,40,22,13,6,42,927,519.3562929,13,224,207.1133809,7,134,49.2887604,No Lapse
700125,WB,Y,Y,GOLD   ,TORONTO,Canada,54,51-58,MALE  ,1618.639072,1584.720896,1999.191798,2557.886654,267075.4469,133116.5552,75969.28833,15347.31993,314331.33,129100.33,78025.33,34599.4,165,84,38,6,298,14043,7323.035754,65,2823,3254.543066,11,469,758.785594,No Lapse
700131,WB,N,N,GOLD   ,WARKWORTH,Canada,69,67-74,MALE  ,680.4284333,699.05538,0,0,4082.5706,3495.2769,0,0,7145,8117,0,0,6,5,0,0,4,130,196.605648,0,0,0,0,0,0,3 Month Lapsed
700133,WB,N,N,GOLD   ,MISSISSAUGA,Canada,55,51-58,FEMALE,142.1383477,161.3774539,209.3899149,209.6220967,11939.62121,6616.475609,2931.458809,2096.220967,4568.34,2415.34,564.34,79.46,84,41,14,10,2,50,905.1696967,1,30,204.5167047,0,0,167.6976774,No Lapse
700138,WB,N,N,GOLD   ,RICHMOND HILL,Canada,61,59-66,FEMALE,554.8411,0,0,0,554.8411,0,0,0,1652,0,0,0,1,0,0,0,0,0,44.387288,0,0,0,0,0,0,6 Month Lasped
700140,WB,Y,N,REWARDS,BRAMPTON,Canada,55,51-58,MALE  ,271.1373484,443.6372944,615.254524,918.1084013,9218.669844,4436.372944,3691.527144,2754.325204,12130.02,3843.02,3006.02,1687.52,34,10,6,3,14,284,453.4935875,2,42,253.3221715,1,21,199.3460163,No Lapse
700141,WB,Y,N,GOLD   ,NORTH YORK,Canada,62,59-66,FEMALE,286.3535227,159.6895,0,0,6299.7775,319.379,0,0,9212,228,0,0,22,2,0,0,5,204,299.9822,0,0,0,0,0,0,3 Month Lapsed
700144,WB,N,N,GOLD   ,MISSISSAUGA,Canada,76,75+,MALE  ,259.035465,243.0412673,301.5971233,270.997665,4144.56744,2673.45394,1809.58274,541.99533,5578.51,2832.51,2552.51,563.7,16,11,6,2,3,178,153.5653952,2,120,24.7666192,1,60,-16.6403736,No Lapse
700148,WB,Y,Y,SILVER ,THORNHILL,Canada,65,59-66,FEMALE,281.1984,0,0,0,843.5952,0,0,0,1081,0,0,0,3,0,0,0,0,0,67.487616,0,0,0,0,0,0,6 Month Lasped
700151,WB,Y,Y,GOLD   ,LONDON,Canada,73,67-74,FEMALE,397.8197715,426.8286931,317.452165,267.11368,20686.62812,11097.54602,2539.61732,534.22736,27254.36,11266.36,3947.36,755.66,52,26,8,2,31,1042,612.9302496,4,87,116.1693856,1,20,22.7381888,No Lapse
700159,WB,Y,Y,GOLD   ,BRAMPTON,Canada,64,59-66,FEMALE,161.1619368,198.3688325,273.2887318,329.8215742,5318.343913,4959.220813,3552.753513,1978.929445,3072.72,2513.72,928.72,71.53,33,25,13,6,25,354,71.46751304,16,249,35.22028104,7,142,16.3143556,No Lapse
700160,WB,Y,N,GOLD   ,ETOBICOKE,Canada,69,67-74,FEMALE,1732.295008,233.0522,134.6317,0,20787.5401,466.1044,134.6317,0,31350,2047,472,0,12,2,1,0,0,0,1663.003208,0,0,10.770536,0,0,0,1 Month Lapsed
700164,WB,Y,N,GOLD   ,ETOBICOKE,Canada,67,67-74,MALE  ,395.6126082,426.8591644,174.97758,174.97758,8703.47738,3841.73248,174.97758,174.97758,11042.34,7910.34,741.34,741.34,22,9,1,1,26,947,-250.7218096,1,22,-8.0017936,1,22,-8.0017936,No Lapse
700165,WB,Y,N,SILVER ,BRAMPTON,Canada,67,67-74,FEMALE,199.0874402,177.6108457,184.3236944,231.3970857,16325.1701,6216.3796,3317.8265,1619.7796,13568.5,8433.5,4492.5,2676.5,82,35,18,7,20,345,961.013608,3,60,205.42612,1,20,109.582368,No Lapse
700167,WB,Y,N,SILVER ,MISSISSAUGA,Canada,65,59-66,FEMALE,415.98735,0,0,0,831.9747,0,0,0,401,0,0,0,2,0,0,0,0,0,66.557976,0,0,0,0,0,0,6 Month Lasped
700171,WB,Y,Y,GOLD   ,MISSISSAUGA,Canada,67,67-74,FEMALE,332.0431,332.0431,0,0,332.0431,332.0431,0,0,423,423,0,0,1,1,0,0,0,0,26.563448,0,0,0,0,0,0,3 Month Lapsed
700192,WB,Y,Y,GOLD   ,AJAX,Canada,40,35-42,FEMALE,548.458999,548.458999,548.458999,548.458999,1096.917998,1096.917998,1096.917998,1096.917998,-1325.9,-1325.9,-1325.9,-1325.9,2,2,2,2,0,0,87.75343984,0,0,87.75343984,0,0,87.75343984,No Lapse
700193,WB,Y,N,SILVER ,TORONTO,Canada,54,51-58,MALE  ,513.4146667,0,0,0,1540.244,0,0,0,848,0,0,0,3,0,0,0,1,29,94.21952,0,0,0,0,0,0,6 Month Lasped
700203,WB,Y,Y,GOLD   ,NORTH YORK,Canada,66,59-66,FEMALE,386.7965,391.2842,0,0,1547.186,782.5684,0,0,3279,2018,0,0,4,2,0,0,1,20,103.77488,0,0,0,0,0,0,3 Month Lapsed
700206,WB,N,N,REWARDS,SCARBOROUGH,Canada,73,67-74,MALE  ,271.6760181,388.069839,503.62292,561.2463533,11682.06878,7761.39678,4532.60628,1683.73906,9004.99,4705.99,3482.99,-158.12,43,20,9,3,12,620,314.5655024,3,190,172.6085024,1,86,48.6991248,No Lapse
700210,WB,Y,Y,SILVER ,TORONTO,Canada,57,51-58,FEMALE,165.314623,191.4871759,228.9596673,289.1351873,14547.68682,9382.871621,7555.669021,4337.027809,1404.75,-4338.25,-3461.25,-7712.56,88,49,33,15,28,971,192.8149457,11,367,237.4535217,6,229,117.9622247,No Lapse
700214,WB,N,N,SILVER ,NORTH YORK,Canada,61,59-66,MALE  ,239.1074571,0,0,0,1673.7522,0,0,0,1327,0,0,0,7,0,0,0,1,20,113.900176,0,0,0,0,0,0,No Lapse
700233,WB,Y,Y,GOLD   ,CALEDON,Canada,75,75+,FEMALE,525.7050643,341.5916,341.5916,0,7359.8709,2049.5496,2049.5496,0,-1780,8806,8806,0,14,6,6,0,1,10,578.789672,0,0,163.963968,0,0,0,1 Month Lapsed
700266,WB,N,Y,GOLD   ,RICHMOND HILL,Canada,51,51-58,MALE  ,2703.622539,3669.715317,3553.912575,0,24332.60285,11009.14595,7107.82515,0,61888.03,40273.03,26757.03,0,9,3,2,0,12,334,1612.608228,1,15,553.626012,0,0,0,1 Month Lapsed
700268,WB,Y,Y,GOLD   ,TORONTO,Canada,71,67-74,MALE  ,321.2342,321.2342,321.2342,0,321.2342,321.2342,321.2342,0,-3237,-3237,-3237,0,1,1,1,0,0,0,25.698736,0,0,25.698736,0,0,0,1 Month Lapsed
700277,WB,Y,Y,GOLD   ,BRAMPTON,Canada,42,35-42,MALE  ,540.2172544,489.2638907,489.365736,500.258856,8103.258816,4403.375016,2936.194416,1500.776568,10302.19,5225.19,3732.19,2541.73,15,9,6,3,6,295,353.2607053,2,146,88.89555328,1,86,34.06212544,No Lapse
700280,WB,N,N,GOLD   ,MISSISSAUGA,Canada,53,51-58,FEMALE,484.5401981,473.7493209,572.5453126,575.1448545,21804.30891,7106.239813,5152.907813,2300.579418,26387.49,9353.49,6238.49,2315.29,45,15,9,4,12,961,783.344713,1,44,368.232625,1,44,140.0463534,No Lapse
